year,month,disaster_type,country,latitude,longitude,casualties,economic_loss_usd
2022,9.0,Water,Tunisia,32.79386059194571,8.318680063768326,12,0.0
2022,10.0,Road,India,19.838955167584157,77.74182065755664,26,0.0
2022,9.0,Water,Syrian Arab Republic,34.5541419001021,39.95379768990728,89,0.0
2022,9.0,Water,Bangladesh,23.469711018899012,91.51895376069888,68,0.0
2022,9.0,Fire (Miscellaneous),China,34.49354401954075,104.37728285692968,17,0.0
2022,9.0,Road,Congo,1.0441204750869966,16.437345360563175,34,0.0
2022,10.0,Epidemic,Haiti,17.791374250129643,-70.83979554113525,511,0.0
2022,10.0,Storm,Colombia,4.57126501205726,-75.58310532903376,0,0.0
2022,10.0,Storm,Honduras,15.901813031109015,-85.33447763268603,5,0.0
2022,9.0,Epidemic,Uganda,2.612188678457183,30.98935304872684,55,0.0
